City_ID,City,Country,Data,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
131,Mitu,1.1983,-70.1733,81.95,71,56,1.45,CO,2022-06-07 13:30:22
132,Namatanai,-3.6667,152.4333,78.28,84,86,7.27,PG,2022-06-07 13:30:24
133,Diffa,13.3154,12.6113,105.31,10,19,14.72,NE,2022-06-07 13:30:24
134,Lebu,-37.6167,-73.65,53.78,97,80,7.05,CL,2022-06-07 13:30:24
135,Nelson Bay,-32.7167,152.15,53.1,71,3,4.0,AU,2022-06-07 13:30:25
136,Mahebourg,-20.4081,57.7,74.25,83,75,8.05,MU,2022-06-07 13:30:25
137,Saldanha,-33.0117,17.9442,86.05,36,0,14.2,ZA,2022-06-07 13:30:26
138,Tianmen,30.6516,113.1603,79.47,69,43,6.15,CN,2022-06-07 13:30:26
139,Esperance,-33.8667,121.9,52.23,70,10,8.59,AU,2022-06-07 13:31:26
140,Sioux Lookout,50.1001,-91.917,57.27,77,20,3.44,CA,2022-06-07 13:28:50
141,Barranca,-10.75,-77.7667,64.74,79,65,4.52,PE,2022-06-07 13:31:27
142,Lincolnwood,42.0045,-87.7301,59.38,91,100,14.97,US,2022-06-07 13:31:28
143,Bambous Virieux,-20.3428,57.7575,74.21,83,75,8.05,MU,2022-06-07 13:31:28
144,Languyan,5.2618,120.0807,78.84,84,24,3.31,PH,2022-06-07 13:31:28
145,Mackay,-21.15,149.2,67.68,70,81,14.16,AU,2022-06-07 13:31:29
146,Richards Bay,-28.783,32.0377,69.1,64,0,3.98,ZA,2022-06-07 13:31:29
147,Ayan,56.45,138.1667,40.68,88,100,11.65,RU,2022-06-07 13:31:30
148,Dikson,73.5069,80.5464,30.88,88,10,4.56,RU,2022-06-07 13:31:30
149,Erenhot,43.6475,111.9767,67.3,24,61,20.24,CN,2022-06-07 13:31:30
150,Launceston,-41.45,147.1667,41.34,70,75,5.75,AU,2022-06-07 13:26:36
151,Hilo,19.7297,-155.09,76.28,83,75,8.05,US,2022-06-07 13:29:42
152,Thompson,55.7435,-97.8558,48.36,61,20,5.75,CA,2022-06-07 13:31:31
153,Yeniseysk,58.4497,92.1703,49.06,79,71,5.28,RU,2022-06-07 13:31:32
154,Krasnovishersk,60.4078,57.082,59.59,57,100,12.55,RU,2022-06-07 13:31:32
